# Nmax = 7
# L1 L2 L3   u11 u12 u13   u21 u22 u23   u31 u32 u33   (periodicity)
3.7417 1.5811 0.1690   3 2 1   1 1 2   0 0 1   (1)
3.7417 1.6475 0.1622   3 2 1   1 -1 1   1 1 0   (1)
3.7417 1.7321 0.1543   3 2 1   -1 1 1   1 0 0   (12)
3.7417 1.7928 0.1491   3 1 2   1 2 0   1 0 1   (1)
3.7417 1.9640 0.1361   3 2 1   2 -1 0   1 0 0   (1)
3.7417 2.0529 0.1302   3 2 1   1 3 0   0 1 0   (1)
3.7417 2.0874 0.1280   3 2 1   0 -2 1   1 1 0   (1)
3.7417 2.2200 0.1204   3 2 1   1 -2 0   0 1 0   (1)
3.7417 2.2361 0.1195   3 2 1   0 1 -2   1 1 0   (12)
3.7417 2.3146 0.1155   3 2 1   1 1 -2   0 0 1   (1)
3.7417 2.4349 0.1098   3 2 1   -1 1 2   1 1 1   (1)
3.7417 2.5355 0.1054   3 2 1   1 1 3   0 0 1   (1)
3.7417 2.5495 0.1048   3 1 2   0 1 3   1 0 0   (1)
3.7417 2.6859 0.0995   3 1 2   2 3 0   1 0 1   (1)
3.7417 2.8661 0.0933   3 2 1   0 1 3   2 1 0   (1)
3.7417 2.8909 0.0925   3 2 1   1 4 0   0 1 0   (1)
3.7417 2.9032 0.0921   3 2 1   0 3 2   1 0 0   (1)
3.7417 2.9520 0.0905   3 1 2   -2 2 1   0 1 1   (1)
3.7417 2.9881 0.0894   3 2 1   1 -2 2   1 1 0   (1)
3.7417 3.0589 0.0874   3 2 1   1 -3 0   0 1 0   (1)
3.7417 3.0822 0.0867   3 2 1   0 2 3   1 1 1   (1)
3.7417 3.1396 0.0851   3 2 1   4 -1 0   1 0 0   (1)
3.7417 3.1510 0.0848   3 2 1   0 -1 3   1 0 2   (1)
3.7417 3.2733 0.0816   3 2 1   1 1 -3   0 0 1   (1)
3.7417 3.3488 0.0798   3 2 1   0 4 1   1 -1 0   (1)
3.7417 3.4434 0.0776   3 2 1   0 -3 2   1 1 0   (1)
3.7417 3.4949 0.0765   3 2 1   1 1 4   0 0 1   (1)
3.7417 3.5153 0.0760   3 2 1   2 0 -3   1 1 1   (1)
3.7417 3.5956 0.0743   3 2 1   0 2 -3   1 1 0   (1)
3.7417 3.6056 0.0741   3 1 -2   2 0 3   1 0 1   (12)
3.7417 3.6742 0.0727   3 1 2   1 4 0   1 -1 1   (1)
3.7417 3.7321 0.0716   3 2 1   1 5 0   0 1 0   (1)
3.7417 3.7985 0.0704   3 2 1   0 1 4   1 1 2   (1)
3.3166 3.8376 0.0786   3 1 1   1 -1 4   1 0 1   (1)
3.7417 3.9005 0.0685   3 2 1   1 -4 0   0 1 0   (1)
3.0000 3.9016 0.0854   2 2 1   1 6 0   0 1 0   (1)
3.1623 3.9243 0.0806   3 1 0   0 4 1   1 0 0   (1)
2.4495 3.9370 0.1037   2 1 1   0 -1 4   1 0 2   (1)
3.6056 4.0096 0.0692   3 2 0   1 1 4   0 0 1   (1)
3.1623 4.0125 0.0788   3 0 1   1 4 0   0 1 0   (1)
3.3166 4.0227 0.0750   3 1 1   0 4 -1   1 2 0   (1)
2.2361 4.0249 0.1111   2 0 1   1 4 0   0 1 0   (1)
3.7417 4.0267 0.0664   3 1 2   1 4 -1   1 2 0   (1)
3.0000 4.0277 0.0828   2 2 1   1 -1 4   1 0 2   (1)
2.4495 4.0415 0.1010   2 1 1   1 -4 0   0 1 0   (1)
3.7417 4.0444 0.0661   3 2 1   0 4 3   -1 1 1   (1)
3.7417 4.0532 0.0659   3 2 1   1 3 -3   1 1 0   (1)
1.4142 4.0620 0.1741   1 1 0   0 1 4   0 0 1   (1)
3.0000 4.0689 0.0819   2 2 1   1 0 -4   1 1 0   (1)
3.6056 4.0856 0.0679   3 0 2   0 4 1   1 1 1   (1)
3.7417 4.0883 0.0654   3 2 1   -2 3 2   1 0 0   (1)
2.4495 4.1028 0.0995   2 1 1   0 3 4   1 0 0   (1)
3.1623 4.1110 0.0769   3 1 0   0 1 4   1 0 -1   (1)
3.3166 4.1121 0.0733   3 1 1   1 -4 0   0 1 0   (1)
3.7417 4.1144 0.0650   3 2 1   5 0 -2   0 1 1   (1)
4.1231 0.3430 0.7071   3 2 2   1 1 1   0 0 1   (1)
4.1231 0.7276 0.3333   3 2 2   1 1 0   0 0 1   (1)
4.1231 0.8745 0.2774   3 2 2   0 1 0   1 0 1   (1)
4.1231 1.0000 0.2425   4 1 0   0 0 1   1 0 0   (12)
4.1231 1.0290 0.2357   4 1 0   1 0 1   1 0 0   (1)
4.1231 1.1114 0.2182   4 1 0   2 0 1   1 0 0   (1)
4.1231 1.2367 0.1961   4 1 0   1 1 1   1 0 0   (1)
4.1231 1.3933 0.1741   4 1 0   0 1 1   1 0 0   (1)
4.1231 1.4142 0.1715   3 2 2   0 -1 1   1 1 0   (12)
4.1231 1.5718 0.1543   4 1 0   1 -1 1   1 0 0   (1)
4.1231 1.6977 0.1429   3 2 2   0 2 1   1 1 1   (1)
4.1231 1.7657 0.1374   4 1 0   2 2 1   1 0 0   (1)
4.1231 1.9704 0.1231   4 1 0   1 2 1   1 0 0   (1)
4.1231 2.0147 0.1204   4 0 1   1 2 0   0 1 0   (1)
4.1231 2.1282 0.1140   4 1 0   1 1 2   -1 0 1   (1)
4.1231 2.1828 0.1111   4 1 0   0 2 1   1 0 0   (1)
4.1231 2.2881 0.1060   3 2 2   1 3 0   1 0 1   (1)
4.1231 2.3389 0.1037   4 0 1   1 2 -1   2 1 0   (1)
4.1231 2.4010 0.1010   4 1 0   1 -2 1   1 0 0   (1)
4.1231 2.4375 0.0995   3 2 2   1 1 -2   0 0 1   (1)
4.1231 2.4971 0.0971   3 2 2   0 3 1   2 0 1   (1)
4.1231 2.6234 0.0925   4 1 0   2 3 1   1 0 0   (1)
4.1231 2.6679 0.0909   3 2 2   3 0 -1   1 1 1   (1)
4.1231 2.8388 0.0854   3 2 2   2 -2 1   0 1 0   (1)
4.1231 2.8491 0.0851   4 1 0   1 3 1   1 0 0   (1)
4.1231 2.9605 0.0819   4 1 0   -1 2 2   0 1 1   (1)
4.1231 3.0000 0.0808   3 2 2   5 1 0   1 1 1   (12)
4.1231 3.0098 0.0806   4 0 1   1 3 0   0 1 0   (1)
4.1231 3.0390 0.0798   4 1 0   2 0 3   1 0 1   (1)
4.1231 3.0774 0.0788   4 1 0   0 3 1   1 0 0   (1)
4.1231 3.0870 0.0786   2 2 -3   3 1 1   1 0 1   (1)
4.1231 3.1530 0.0769   4 1 0   0 1 3   -1 0 1   (1)
4.1231 3.2358 0.0750   4 1 0   1 -1 3   2 0 1   (1)
4.1231 3.3077 0.0733   4 1 0   1 -3 1   1 0 0   (1)
4.1231 3.3343 0.0727   4 1 0   1 3 2   -1 1 1   (1)
4.1231 3.4471 0.0704   4 1 0   1 2 3   2 1 1   (1)
4.1231 3.5397 0.0685   4 1 0   2 4 1   1 0 0   (1)
4.1231 3.5728 0.0679   4 0 1   0 3 2   1 1 1   (1)
4.1231 3.6056 0.0673   3 2 2   2 0 -3   2 1 0   (12)
4.1231 3.6702 0.0661   3 2 2   6 1 0   1 1 1   (1)
4.1231 3.7101 0.0654   3 2 2   2 -3 1   0 1 0   (1)
4.1231 3.7338 0.0650   4 0 1   -1 2 3   1 1 2   (1)
4.1231 3.7730 0.0643   4 1 0   1 4 1   1 0 0   (1)
4.1231 3.8578 0.0629   4 1 0   2 3 3   1 1 1   (1)
4.1231 3.8881 0.0624   2 2 -3   1 4 1   0 1 1   (1)
4.1231 4.0073 0.0605   4 1 0   0 4 1   1 0 0   (1)
4.1231 4.0147 0.0604   4 0 1   1 3 3   0 1 1   (1)
4.1231 4.0656 0.0597   4 1 0   3 0 4   1 0 1   (1)
2.2361 4.1473 0.1078   2 1 0   1 5 1   1 0 0   (1)
4.1231 4.1515 0.0584   4 0 1   1 2 4   0 1 2   (1)
3.7417 4.1662 0.0642   3 2 1   -1 1 4   2 1 0   (1)
4.1231 4.1798 0.0580   4 0 1   1 4 -1   1 1 0   (1)
4.1231 4.1868 0.0579   3 2 2   0 1 5   2 1 0   (1)
3.3166 4.1996 0.0718   1 1 -3   4 1 1   1 0 1   (1)
2.2361 4.2190 0.1060   2 1 0   3 0 4   1 0 1   (1)
2.4495 4.2230 0.0967   2 1 1   1 5 0   0 1 0   (1)
3.7417 4.2258 0.0632   3 2 1   0 3 4   2 0 -1   (1)
3.1623 4.2308 0.0747   3 1 0   1 -4 1   1 0 0   (1)
3.6056 4.2336 0.0655   3 2 0   -1 1 4   1 1 1   (1)
3.7417 4.2342 0.0631   3 2 1   1 1 -4   0 0 1   (1)
4.2426 0.7071 0.3333   4 1 1   2 0 1   1 0 0   (1)
4.2426 0.7817 0.3015   4 1 1   1 1 0   0 1 0   (1)
4.2426 0.9718 0.2425   4 1 1   0 0 1   1 0 0   (1)
4.2426 1.2247 0.1925   4 1 1   1 -1 0   1 0 0   (1)
4.2426 1.4530 0.1622   4 1 1   1 1 -1   1 0 1   (1)
4.2426 1.5092 0.1562   4 1 1   2 -1 0   1 0 0   (1)
4.2426 1.7321 0.1361   4 1 1   1 2 0   0 1 0   (1)
4.2426 1.8105 0.1302   4 1 1   1 1 2   1 0 0   (1)
4.2426 2.1213 0.1111   4 1 1   0 1 2   1 0 0   (1)
4.2426 2.1473 0.1098   4 1 1   1 2 -1   2 0 1   (1)
4.2426 2.1858 0.1078   4 1 1   1 -2 0   0 1 0   (1)
4.2426 2.2236 0.1060   4 1 1   0 2 -1   1 1 0   (1)
4.2426 2.4381 0.0967   4 1 1   -1 1 2   1 0 0   (1)
4.2426 2.5055 0.0941   4 1 1   2 0 3   1 0 1   (1)
4.2426 2.6977 0.0874   4 1 1   1 3 0   0 1 0   (1)
4.2426 2.7285 0.0864   4 1 1   1 3 1   1 -1 0   (1)
4.2426 2.7588 0.0854   4 1 1   -2 1 2   1 0 0   (1)
4.2426 2.8480 0.0828   4 1 1   1 2 -2   2 1 0   (1)
4.2426 3.0000 0.0786   4 1 1   1 3 -1   1 1 0   (1)
4.2426 3.0822 0.0765   4 1 1   1 2 3   1 0 0   (1)
4.2426 3.1535 0.0747   4 1 1   1 -3 0   0 1 0   (1)
4.2426 3.2830 0.0718   4 1 1   1 -3 1   1 1 0   (1)
4.2426 3.3166 0.0711   1 1 -4   3 1 1   1 0 2   (12)
4.2426 3.4075 0.0692   4 1 1   0 2 3   1 0 0   (1)
4.2426 3.5512 0.0664   4 1 1   1 3 -2   2 0 1   (1)
4.2426 3.5978 0.0655   4 1 -1   0 2 3   1 1 1   (1)
4.2426 3.6667 0.0643   4 1 1   1 4 0   0 1 0   (1)
4.2426 3.6742 0.0642   4 1 -1   1 2 3   0 1 2   (1)
4.2426 3.7342 0.0631   4 1 1   -1 2 3   1 0 0   (1)
4.2426 3.7786 0.0624   4 1 1   2 4 -1   1 1 0   (1)
4.2426 3.9299 0.0600   4 1 1   1 4 2   0 2 1   (1)
4.2426 3.9511 0.0597   4 1 1   0 4 1   1 -1 0   (1)
4.2426 4.0620 0.0580   4 1 1   0 -1 4   1 0 1   (1)
4.2426 4.1231 0.0572   4 1 1   1 -4 0   0 1 0   (12)
4.2426 4.2361 0.0556   4 1 1   1 1 -4   1 0 2   (1)
4.2426 4.2557 0.0554   4 1 1   1 3 -3   2 1 0   (1)
3.6056 4.2787 0.0648   3 0 2   0 1 5   1 0 1   (1)
2.4495 4.2817 0.0953   2 1 1   1 4 -2   1 0 1   (1)
4.1231 4.2977 0.0564   3 2 2   1 -3 3   1 0 1   (1)
3.1623 4.3012 0.0735   3 1 0   1 2 4   -1 0 1   (1)
3.7417 4.3260 0.0618   3 1 2   0 2 5   1 0 0   (1)
3.3166 4.3275 0.0697   3 1 1   1 4 -2   1 1 0   (1)
2.2361 4.3359 0.1031   2 1 0   1 4 3   0 1 1   (1)
4.1231 4.3454 0.0558   4 1 0   1 2 4   2 0 -1   (1)
3.0000 4.3461 0.0767   2 2 1   5 -1 0   1 0 0   (1)
4.1231 4.3521 0.0557   4 1 0   -1 3 3   0 1 1   (1)
4.3589 0.3244 0.7071   3 3 1   1 1 0   0 1 0   (1)
4.3589 0.7255 0.3162   3 3 1   1 0 0   0 1 0   (1)
4.3589 0.8584 0.2673   3 3 1   1 2 0   0 1 0   (1)
4.3589 1.0761 0.2132   3 3 1   1 0 1   1 1 0   (1)
4.3589 1.3377 0.1715   3 3 1   1 0 -1   1 1 0   (1)
4.3589 1.4142 0.1622   3 3 1   1 -1 0   1 0 0   (12)
4.3589 1.5560 0.1474   3 3 1   0 2 1   1 0 0   (1)
4.3589 1.6222 0.1414   3 3 1   2 1 2   1 1 0   (1)
4.3589 1.9194 0.1195   3 3 1   1 0 2   1 1 0   (1)
4.3589 2.1275 0.1078   3 3 1   2 -1 0   1 0 0   (1)
4.3589 2.2243 0.1031   3 3 1   1 0 -2   1 1 0   (1)
4.3589 2.2711 0.1010   3 3 1   1 4 0   0 1 0   (1)
4.3589 2.4061 0.0953   3 3 1   1 -1 2   1 0 1   (1)
4.3589 2.5340 0.0905   3 3 1   2 1 3   1 1 0   (1)
4.3589 2.7720 0.0828   3 3 1   -1 2 2   2 1 0   (1)
4.3589 2.8470 0.0806   3 3 1   4 0 1   0 1 0   (1)
4.3589 2.9558 0.0776   3 3 1   2 0 3   0 -1 1   (1)
4.3589 2.9912 0.0767   3 3 1   1 5 0   0 1 0   (1)
4.3589 3.1623 0.0725   3 3 1   1 0 -3   1 1 0   (12)
4.3589 3.2606 0.0704   3 3 1   4 0 -1   2 1 0   (1)
4.3589 3.4793 0.0659   3 3 1   2 1 4   1 1 0   (1)
4.3589 3.5393 0.0648   3 1 -3   2 0 3   1 0 1   (1)
4.3589 3.5689 0.0643   3 3 1   4 -1 0   1 0 0   (1)
4.3589 3.6274 0.0632   3 3 1   0 4 3   2 1 0   (1)
4.3589 3.7134 0.0618   3 3 1   1 6 0   0 1 0   (1)
4.3589 3.7417 0.0613   3 -3 1   1 2 3   0 1 1   (12)
4.3589 3.7975 0.0604   3 3 1   1 0 4   1 1 0   (1)
4.3589 3.8251 0.0600   3 3 1   -4 1 1   0 2 1   (1)
4.3589 3.9603 0.0579   3 3 1   5 0 -1   0 2 1   (1)
4.3589 4.0653 0.0564   3 3 1   -2 2 3   0 1 1   (1)
4.3589 4.1167 0.0557   3 3 1   1 0 -4   1 1 0   (1)
4.3589 4.1422 0.0554   3 3 1   1 -1 4   1 0 2   (1)
4.3589 4.2920 0.0535   3 3 1   5 -1 0   1 0 0   (1)
3.7417 4.3834 0.0610   3 2 1   4 0 -3   2 1 0   (1)
3.0000 4.3843 0.0760   2 1 -2   1 2 4   1 1 1   (1)
4.2426 4.3906 0.0537   4 1 1   1 3 4   1 0 0   (1)
4.2426 4.4284 0.0532   4 1 1   2 0 5   1 0 2   (1)
4.3589 4.4367 0.0517   3 3 1   1 7 0   0 1 0   (1)
3.6056 4.4463 0.0624   3 2 0   2 -1 4   1 0 1   (1)
3.7417 4.4561 0.0600   3 2 1   1 1 5   0 0 1   (1)
4.1231 4.4590 0.0544   3 2 2   1 5 -1   1 0 1   (1)
4.1231 4.4787 0.0542   4 1 0   2 5 1   1 0 0   (1)
4.3589 4.4839 0.0512   3 3 1   0 5 -2   1 2 0   (1)
3.3166 4.4924 0.0671   3 1 1   1 5 0   0 1 0   (1)
2.2361 4.4944 0.0995   2 1 0   1 5 2   0 2 1   (1)
3.7417 4.4960 0.0594   3 2 1   0 5 -1   2 0 1   (1)
3.7417 4.5119 0.0592   3 1 2   1 4 -2   1 0 1   (1)
1.4142 4.5277 0.1562   1 1 0   3 0 4   1 0 1   (1)
4.1231 4.5309 0.0535   4 0 -1   2 3 3   1 1 1   (1)
3.3166 4.5327 0.0665   3 1 1   0 3 4   1 0 0   (1)
3.0000 4.5338 0.0735   2 2 1   1 0 5   1 1 0   (1)
3.1623 4.5387 0.0697   3 1 0   1 5 1   1 0 0   (1)
1.7321 4.5461 0.1270   1 1 1   6 0 1   1 0 0   (1)
3.6056 4.5489 0.0610   3 0 2   2 1 -4   1 0 1   (1)
4.3589 4.5538 0.0504   3 3 1   4 0 -3   0 1 1   (1)
4.1231 4.5568 0.0532   4 0 1   1 4 -2   2 1 0   (1)
4.2426 4.5583 0.0517   4 1 1   1 2 -4   1 0 1   (1)
2.4495 4.5644 0.0894   2 1 1   0 5 2   1 -1 0   (1)
3.1623 4.5717 0.0692   3 1 0   1 -2 4   2 0 1   (1)
3.3166 4.5726 0.0659   3 1 1   1 -4 2   1 1 0   (1)
3.7417 4.5748 0.0584   3 2 1   1 6 0   0 1 0   (1)
4.3589 4.5768 0.0501   3 3 1   1 -2 4   2 0 3   (1)
4.5826 0.4880 0.4472   4 2 1   1 0 0   0 1 0   (1)
4.5826 0.5345 0.4082   4 2 1   1 1 0   0 1 0   (1)
4.5826 0.8165 0.2673   4 2 1   1 1 1   1 0 0   (1)
4.5826 0.8997 0.2425   4 1 2   0 0 1   1 0 0   (1)
4.5826 1.2536 0.1741   4 2 1   0 1 1   1 0 0   (1)
4.5826 1.3452 0.1622   4 2 1   1 -1 0   1 0 0   (1)
4.5826 1.3973 0.1562   4 2 1   1 2 0   0 1 0   (1)
4.5826 1.7182 0.1270   4 2 1   -1 1 1   1 0 0   (1)
4.5826 1.8127 0.1204   4 2 1   2 -1 0   1 0 0   (1)
4.5826 1.9149 0.1140   4 2 1   2 -1 1   1 1 0   (1)
4.5826 2.0587 0.1060   4 2 1   0 1 2   -1 0 1   (1)
4.5826 2.1931 0.0995   4 2 1   -2 1 1   1 0 0   (1)
4.5826 2.2361 0.0976   4 2 1   1 -2 0   0 1 0   (12)
4.5826 2.2887 0.0953   4 2 1   1 3 0   0 1 0   (1)
